City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
27,shetpe,44.1667,52.1167,266.13,53,0,1.4,KZ,1670297200
28,norman wells,65.282,-126.8329,245.17,69,20,7.2,CA,1670297196
29,khandyga,62.6667,135.6,244.62,95,100,1.1,RU,1670297201
30,kapaa,22.0752,-159.319,299.14,89,100,7.2,US,1670297201
31,avarua,-21.2078,-159.775,298.18,78,75,1.03,CK,1670297202
32,ponta do sol,32.6667,-17.1,292.43,73,100,1.81,PT,1670297202
33,kruisfontein,-34.0033,24.7314,286.42,80,100,2.76,ZA,1670297202
34,lavassaare,58.5114,24.3889,268.1,93,100,3.09,EE,1670297203
35,karema,-6.8205,30.4389,293.16,86,91,2.65,TZ,1670297203
36,kaeo,-35.1,173.7833,291.03,87,100,3.01,NZ,1670297203
37,santiago de las vegas,22.97,-82.3869,289.94,94,0,0.51,CU,1670297204
38,albany,42.6001,-73.9662,276.65,57,97,2.31,US,1670297020
39,vaini,-21.2,-175.2,300.24,89,75,5.66,TO,1670297204
40,coihaique,-45.5752,-72.0662,283.12,57,0,3.09,CL,1670297205
41,georgetown,5.4112,100.3354,303.12,80,20,1.54,MY,1670297205
42,tiksi,71.6872,128.8694,246.8,93,100,4.55,RU,1670297206
43,cape town,-33.9258,18.4232,292.25,71,0,3.09,ZA,1670297206
44,russell,32.3502,-85.1999,291.75,100,0,0.0,US,1670297206
45,konakovo,56.7,36.7667,264.2,83,100,3.29,RU,1670297207
46,hithadhoo,-0.6,73.0833,300.6,74,100,4.19,MV,1670297207
47,tongchuan,35.0806,109.0897,278.01,39,100,0.58,CN,1670297207
48,ixtapa,20.7,-105.2,297.72,88,40,1.54,MX,1670297208
49,necocli,8.4234,-76.786,296.64,92,100,2.13,CO,1670297208
50,hay river,60.8156,-115.7999,242.14,69,20,5.14,CA,1670297028
51,mweka,-4.85,21.5667,291.24,99,97,0.47,CD,1670297209
52,winnemucca,40.973,-117.7357,273.18,86,75,2.57,US,1670297210
53,vila velha,-20.3297,-40.2925,296.12,92,20,3.09,BR,1670297210
54,bluff,-46.6,168.3333,283.6,59,10,5.9,NZ,1670297210
55,tasiilaq,65.6145,-37.6368,269.24,58,8,1.71,GL,1670297211
56,nome,64.5011,-165.4064,272.19,86,100,12.86,US,1670297211
57,amapa,1.0,-52.0,294.74,98,97,0.24,BR,1670297211
58,bethel,41.3712,-73.414,276.83,81,0,0.0,US,1670297212
59,plaster rock,46.9065,-67.39,275.44,83,100,4.88,CA,1670297212
60,nikolskoye,59.7035,30.7861,266.09,88,100,3.86,RU,1670297213
61,redwater,33.3582,-94.2544,292.31,90,51,4.53,US,1670297213
62,nantucket,41.2835,-70.0995,281.56,81,0,3.6,US,1670297214
63,ino,33.55,133.4333,286.89,52,16,3.24,JP,1670297214
64,ingham,42.6,-84.3833,278.25,65,100,0.0,US,1670297214
65,victoria,22.2855,114.1577,290.55,72,100,5.36,HK,1670297164
66,fukue,32.6881,128.8419,283.35,46,75,6.17,JP,1670297215
67,namibe,-15.1961,12.1522,293.07,82,82,2.34,AO,1670297215
68,alugan,12.2188,125.4808,300.75,80,100,4.06,PH,1670297215
69,busselton,-33.65,115.3333,295.45,38,0,4.29,AU,1670297216
70,knokke-heist,51.3333,3.3333,278.72,84,100,0.45,BE,1670297216
71,bavly,54.393,53.2602,252.75,100,94,0.26,RU,1670297217
72,salacgriva,57.7536,24.3581,270.06,90,100,5.39,LV,1670297217
73,svetlyy,54.675,20.1347,273.18,93,100,3.37,RU,1670297217
74,upernavik,72.7868,-56.1549,271.05,62,74,4.2,GL,1670297218
75,jamestown,42.097,-79.2353,279.92,40,75,4.63,US,1670297218
76,esperance,-33.8667,121.9,291.61,71,84,7.19,AU,1670297010
77,myitkyina,25.3833,97.4,294.51,41,0,1.11,MM,1670297219
78,xichang,27.8964,102.2634,285.16,54,0,1.09,CN,1670297219
79,lavrentiya,65.5833,-171.0,271.64,97,100,14.84,RU,1670297219
80,togul,53.465,85.9128,249.97,100,100,0.41,RU,1670297220
81,pontianak,-0.0333,109.3333,303.14,70,75,1.54,ID,1670297220
82,tura,25.5198,90.2201,294.31,63,0,0.6,IN,1670297220
83,zaozerne,45.1582,33.2787,276.37,80,100,8.15,UA,1670297221
84,vagur,61.4732,-6.8119,277.5,59,63,11.48,FO,1670297221
85,havre-saint-pierre,50.2334,-63.5986,275.15,80,75,6.17,CA,1670297091
86,salta,-24.7859,-65.4117,296.48,49,40,1.03,AR,1670297222
87,mora,11.0461,14.1401,293.95,23,86,1.94,CM,1670297222
88,huejuquilla el alto,22.6,-103.8667,288.54,52,47,1.51,MX,1670297162
